feature,target,lag,correlation,abs_correlation,rank
OIL,difference,10,0.02236207687109252,0.02236207687109252,58
OIL,log_return,3,0.02185996101885325,0.02185996101885325,59
CPI,difference,60,0.021407735707165046,0.021407735707165046,60
OIL,difference,3,0.021279042763699126,0.021279042763699126,61
CPI,log_return,3,0.02002564461509519,0.02002564461509519,62
OIL,log_return,60,0.019748040290759546,0.019748040290759546,63
CPI,log_return,10,0.019159292897786475,0.019159292897786475,64
CPI,log_return,1,0.01882365824876395,0.01882365824876395,65
VIX,difference,3,0.018753569240297883,0.018753569240297883,66
CPI,log_return,5,0.018737395938064453,0.018737395938064453,67
OIL,difference,60,0.018736470666144443,0.018736470666144443,68
CPI,difference,3,0.018494002136757164,0.018494002136757164,69
CPI,difference,10,0.017482623385644002,0.017482623385644002,70
CPI,difference,1,0.017402630070089305,0.017402630070089305,71
CPI,difference,5,0.01738182261306668,0.01738182261306668,72
VIX,difference,60,-0.016836213022796306,0.016836213022796306,73
CPI,log_return,20,0.01666092277844717,0.01666092277844717,74
OIL,log_return,1,0.016566982592041958,0.016566982592041958,75
IHSG,difference,20,0.016381953695116584,0.016381953695116584,76
OIL,difference,1,0.015421651608384383,0.015421651608384383,77
VIX,log_return,60,-0.015130597084210126,0.015130597084210126,78
CPI,difference,20,0.014779877452315605,0.014779877452315605,79
VIX,difference,10,-0.014445520337046856,0.014445520337046856,80
GOLD,difference,1,-0.013618201406200863,0.013618201406200863,81
IHSG,log_return,20,0.013427756458594575,0.013427756458594575,82
VIX,log_return,3,0.012839532783924214,0.012839532783924214,83
IHSG,difference,10,0.012837762216364294,0.012837762216364294,84
US_rate,log_return,60,-0.012635023137157935,0.012635023137157935,85
VIX,log_return,10,-0.01232782363194645,0.01232782363194645,86
US_rate,difference,60,-0.012073670353488561,0.012073670353488561,87
GOLD,log_return,1,-0.010374121922023301,0.010374121922023301,88
IHSG,difference,5,0.010309480107638623,0.010309480107638623,89
SP500,log_return,1,-0.010040600061660321,0.010040600061660321,90
IHSG,log_return,10,0.009818643198069516,0.009818643198069516,91
SP500,difference,1,-0.009160244696831955,0.009160244696831955,92
IHSG,log_return,5,0.008239352512036753,0.008239352512036753,93
US_rate,log_return,1,-0.007500490638977894,0.007500490638977894,94
IHSG,difference,60,0.007302900353717735,0.007302900353717735,95
US_rate,log_return,5,-0.007234038954729703,0.007234038954729703,96
US_rate,log_return,3,-0.007233163039800739,0.007233163039800739,97
US_rate,log_return,10,-0.006918239986865468,0.006918239986865468,98
SP500,log_return,60,-0.006732592839874235,0.006732592839874235,99
US_rate,difference,1,-0.006343670237134575,0.006343670237134575,100
GOLD,difference,3,-0.006206708914727738,0.006206708914727738,101
US_rate,difference,5,-0.005916614920365683,0.005916614920365683,102
US_rate,difference,3,-0.00583395205491142,0.00583395205491142,103
VIX,difference,5,0.005649238254075652,0.005649238254075652,104
IHSG,difference,3,0.005644971914137678,0.005644971914137678,105
US_rate,difference,10,-0.005597190002118221,0.005597190002118221,106
BI_rate,log_return,5,0.005507306091432111,0.005507306091432111,107
BI_rate,log_return,3,0.005326119427025821,0.005326119427025821,108
BI_rate,log_return,10,0.0053221526254223946,0.0053221526254223946,109
SP500,log_return,3,-0.005301269853047595,0.005301269853047595,110
IHSG,log_return,60,0.005201140655963206,0.005201140655963206,111
BI_rate,log_return,20,0.004982421787998315,0.004982421787998315,112
BI_rate,log_return,1,0.004965659065562606,0.004965659065562606,113
US_rate,log_return,20,-0.004674924029011366,0.004674924029011366,114
SP500,difference,60,-0.004235957655912116,0.004235957655912116,115
GOLD,difference,5,-0.003979047999171559,0.003979047999171559,116
IHSG,log_return,3,0.0038445093500551835,0.0038445093500551835,117
SP500,log_return,5,-0.003631848055151674,0.003631848055151674,118
GOLD,log_return,3,-0.0035052005387168476,0.0035052005387168476,119
BI_rate,difference,5,0.0034026805263372584,0.0034026805263372584,120
SP500,difference,3,-0.0033102710869305626,0.0033102710869305626,121
BI_rate,difference,10,0.0032542329219029304,0.0032542329219029304,122
BI_rate,difference,3,0.0032185458340236797,0.0032185458340236797,123
BI_rate,difference,20,0.0032081675974332618,0.0032081675974332618,124
GOLD,log_return,20,0.003147069506890651,0.003147069506890651,125
VIX,level,60,0.0030843641434697916,0.0030843641434697916,126
SP500,difference,20,0.002839124025136547,0.002839124025136547,127
SP500,log_return,10,-0.0028211075367088083,0.0028211075367088083,128
US_rate,difference,20,-0.002806545120533905,0.002806545120533905,129
BI_rate,difference,1,0.0027574442655941746,0.0027574442655941746,130
VIX,log_return,5,0.0023296478405758093,0.0023296478405758093,131
GOLD,difference,20,0.0022246015985735892,0.0022246015985735892,132
BI_rate,difference,60,-0.002055772607129806,0.002055772607129806,133
GOLD,log_return,5,-0.0019872976731372567,0.0019872976731372567,134
GOLD,log_return,60,0.0017575148383734004,0.0017575148383734004,135
SP500,difference,5,-0.0012964329508428256,0.0012964329508428256,136
GOLD,difference,10,-0.0012820808314422283,0.0012820808314422283,137
IHSG,difference,1,0.0008544036010726406,0.0008544036010726406,138
GOLD,difference,60,0.0003964871889219178,0.0003964871889219178,139
SP500,difference,10,-0.000286157794653404,0.000286157794653404,140
SP500,log_return,20,-0.0002691190535579454,0.0002691190535579454,141
GOLD,log_return,10,-0.00020283453061230647,0.00020283453061230647,142
BI_rate,log_return,60,-0.00014886665410060392,0.00014886665410060392,143
IHSG,log_return,1,-0.0001325887249057813,0.0001325887249057813,144
