model_type,threshold_val,vix_gate,rmse
ridge,2.5,27.5,325.0223300399624
ridge,2.25,26.5,325.02352472562603
ridge,2.0,24.0,325.0350913081485
ridge,1.25,26.0,325.0729697337187
ridge,1.25,27.5,325.07789293573455
ridge,2.25,27.0,325.09096416748156
ridge,2.5,20.0,325.09570662551124
ridge,1.0,27.0,325.108684082039
ridge,1.0,25.5,325.1299865311532
ridge,2.25,27.5,325.13916013501586
ridge,1.0,26.5,325.16162938862436
ridge,1.25,27.0,325.16711992470954
ridge,1.25,25.5,325.19868606912064
ridge,1.25,26.5,325.2255050425551
ridge,1.0,25.0,325.31010465931894
ridge,1.75,23.5,325.3130750083744
ridge,2.25,21.0,325.3201876062124
ridge,1.25,25.0,325.37369144070004
ridge,1.5,24.5,325.42326090758326
ridge,1.5,27.5,325.4343725635686
ridge,1.5,26.0,325.4476044360635
ridge,1.5,21.5,325.45297990605314
ridge,1.5,27.0,325.4987108780125
ridge,2.0,24.5,325.5040508733528
ridge,1.75,24.0,325.52399275026966
ridge,2.0,26.0,325.5277115254698
ridge,1.5,26.5,325.5631235528776
ridge,1.5,25.5,325.5659352329856
ridge,2.0,27.5,325.58307325475704
ridge,2.0,27.0,325.6010130448353
ridge,2.0,26.5,325.6283834403629
ridge,2.0,25.5,325.6314111728258
ridge,1.5,25.0,325.7005812976597
ridge,2.25,20.5,325.7007641065748
ridge,2.0,25.0,325.733660005255
ridge,2.5,28.0,325.7710519391847
ridge,2.5,28.5,325.8179453846525
ridge,2.5,29.0,325.8179453846525
ridge,2.5,29.5,325.9537471474958
ridge,1.75,26.0,325.9653860478612
ridge,1.75,24.5,325.96577691904423
ridge,1.75,27.5,326.0025993649994
ridge,2.5,30.0,326.00596857822023
ridge,1.75,27.0,326.0134747212412
ridge,1.75,26.5,326.03299172224246
ridge,1.75,25.5,326.0400695926629
ridge,1.75,21.5,326.0898154305771
ridge,1.75,25.0,326.11532187174373
ridge,2.25,28.0,326.12321213666496
ridge,2.25,29.0,326.14936267674705
ridge,2.25,28.5,326.14936267674705
ridge,2.5,30.5,326.16569708634887
ridge,2.25,29.5,326.3015147371431
ridge,2.5,31.0,326.3145777400449
ridge,2.25,30.0,326.3301082417336
ridge,2.5,31.5,326.3435913735727
ridge,2.5,32.0,326.3435913735727
ridge,1.0,28.0,326.4341511263415
ridge,2.25,30.5,326.434876498455
ridge,1.0,29.0,326.451947828074
ridge,1.0,28.5,326.451947828074
ridge,1.25,28.0,326.4760298463002
ridge,1.25,28.5,326.49096169223566
ridge,1.25,29.0,326.49096169223566
ridge,2.25,31.0,326.5127447375176
ridge,2.25,20.0,326.5168314340267
ridge,2.25,31.5,326.52321312263865
ridge,2.25,32.0,326.52321312263865
ridge,1.0,29.5,326.61592725658977
ridge,1.0,30.0,326.63116940356076
ridge,1.0,31.5,326.6500464325194
ridge,1.0,32.0,326.6500464325194
ridge,1.25,29.5,326.656908565446
ridge,1.25,30.0,326.66919967226215
ridge,1.25,31.5,326.6778125240193
ridge,1.25,32.0,326.6778125240193
ridge,1.0,31.0,326.6878991031637
ridge,1.0,30.5,326.6896688881423
ridge,1.5,28.0,326.6973002208123
ridge,1.5,29.0,326.7017041240023
ridge,1.5,28.5,326.7017041240023
ridge,1.25,31.0,326.71246424530165
ridge,1.25,30.5,326.7207294272163
ridge,2.0,28.0,326.7258257071757
ridge,2.0,29.0,326.7272912337951
ridge,2.0,28.5,326.7272912337951
ridge,1.5,32.0,326.8429014978587
ridge,1.5,31.5,326.8429014978587
ridge,1.5,29.5,326.86102165081854
ridge,1.5,30.0,326.8638099889635
ridge,1.5,31.0,326.86743166083363
ridge,2.0,29.5,326.8817608832339
ridge,2.0,30.0,326.8827054300802
ridge,2.0,32.0,326.88844637005855
ridge,2.0,31.5,326.88844637005855
ridge,1.5,30.5,326.88924812981924
ridge,2.0,31.0,326.89612279613505
ridge,2.0,30.5,326.907514757002
ridge,1.75,28.5,327.0203749356975
ridge,1.75,29.0,327.0203749356975
ridge,1.75,28.0,327.02617160661805
ridge,1.75,31.5,327.1108875648444
ridge,1.75,32.0,327.1108875648444
ridge,1.75,31.0,327.1226724680888
ridge,1.75,30.5,327.1573031721989
ridge,1.75,30.0,327.15924802782393
ridge,1.75,29.5,327.16578756499837
ridge,2.0,21.0,327.5108757594186
ridge,2.0,20.5,327.9657362156343
ridge,1.0,21.0,328.2151625750699
ridge,1.25,21.0,328.58824016258984
ridge,1.0,20.5,329.12381762568316
ridge,2.0,20.0,329.19626896873814
ridge,1.5,21.0,329.35722554658577
ridge,1.25,20.5,329.48744738618996
ridge,1.75,21.0,329.4932467319709
ridge,1.5,20.5,330.2674587928299
ridge,1.75,20.5,330.3564886827735
ridge,1.0,20.0,330.60678803443153
ridge,1.25,20.0,331.08770957918983
ridge,1.5,20.0,332.10471496902966
ridge,1.75,20.0,332.3060499994516
