lag,acf,pacf
200,0.011751890413245534,0.012998562910877929
201,-0.00015349272912928297,0.007523888753716411
202,-0.014757270095248784,-0.01069088863836179
203,0.018496213958635963,-0.0011394264442160398
204,-0.02178526023824911,0.004231218960204577
205,0.014083088010862074,-0.0004031294331964038
206,-0.006945529185255028,-0.012221244203512942
207,0.005130317048059951,-0.0013942445435580235
208,0.0061423452415066224,0.00018067130597940303
209,-0.02132802388781198,-0.012077015412307166
210,0.020402247845910652,0.0125300104656423
211,-2.276643742159683e-05,0.002488270434403489
212,-0.01098022090778546,-0.0026821459726053035
213,0.005039806985794819,-0.004760794383944139
214,-0.019829248511736827,-0.02554180148143243
215,0.013381258363416023,0.0006979428846926085
216,0.004302816287014207,0.015191671807012627
217,-0.01866477479574645,-0.010947952855505521
218,0.01117019799111309,-0.011603323703798032
219,-0.0034107396979856878,0.015507154707380375
220,0.03110701536836952,0.022777667799822644
221,-0.009850087821805137,0.012591053430287538
222,-0.006370557059544658,0.002770563796437098
223,0.006467113334696785,-0.004707359752169267
224,-0.023252674135661906,-0.009339171210920729
225,0.03504917242439163,0.015118869233820508
226,-0.012340692306512272,-0.004909599670717766
227,-0.0014406789276992051,-0.004388443031113745
228,-0.0034288191420728514,-0.0073946947465151226
229,0.007988077030476572,0.01472303002784342
230,0.006792552184805266,-0.000969272937832565
231,-0.020319430852497516,-0.00729630927551983
232,0.006886289296850712,-0.0025154592085951007
233,-0.003544644993060243,-0.0060901679016575104
234,-0.010717798024490388,-0.0024424381857825954
235,0.03485525674592389,0.018410484307602414
236,-0.017265460594275254,0.0019579475594571493
237,-0.009998912760371284,-0.0162389883041345
238,-0.0012371324954662507,-0.010422585675843277
239,0.007966606142737141,0.01025827036923738
240,0.0011653197195844126,-0.011630071650277114
241,-0.014280813446435616,-0.009230701831981028
242,0.007844249224938654,-0.01205422024877827
243,-0.00191303664282444,-0.0006899247518094308
244,-0.0068559143056348805,0.014143348195145056
245,0.016852123419140302,-0.0015070884233755737
246,-0.026371145133860654,-0.015209878034623113
247,0.001883169101600051,-0.004831363960121157
248,0.027115117125698834,0.020083062787608966
249,-0.015914362270089345,0.01879071815680313
250,0.02834105692132708,0.01376740568725078
251,0.012015644857816343,0.03550487517225157
252,-0.014181537783807409,0.010140932742992163
