Date,pred,actual
2023-08-29,15297.916422684759,15255.5
2023-08-30,15237.003151690908,15196.5
2023-08-31,15173.586088506465,15216.0
2023-09-01,15095.807795408115,15231.0
2023-09-04,15022.301898422416,15233.0
2023-09-05,14995.689009827454,15227.0
2023-09-06,14996.909148378587,15298.0
2023-09-07,15032.09544571443,15336.0
2023-09-08,15034.987542128718,15342.0
2023-09-11,15054.387790823932,15318.0
2023-09-12,15067.749181273579,15339.099609375
2023-09-13,15063.78353501992,15350.2001953125
2023-09-14,15076.261873144887,15353.0
2023-09-15,15079.4231989227,15395.0
2023-09-18,15092.777208220918,15346.0
2023-09-19,15103.359997042171,15377.0
2023-09-20,15093.533940214737,15384.5
2023-09-21,15114.31753967817,15361.0
2023-09-22,15117.088413334122,15400.5
2023-09-25,15153.536752424276,15368.0
2023-09-26,15121.208553988761,15405.0
2023-09-27,15164.12951993909,15493.0
2023-09-28,15189.642033982547,15569.0
2023-09-29,15208.846011563292,15474.0
2023-10-02,15226.676654475916,15448.0
2023-10-03,15213.648707195574,15516.0
2023-10-04,15251.916045302145,15622.0
2023-10-05,15290.961795399833,15591.0
2023-10-06,15312.078957506721,15631.0
2023-10-09,15330.993137768464,15603.0
2023-10-10,15306.099592057011,15691.400390625
2023-10-11,15289.843650873618,15718.5
2023-10-12,15254.497310301394,15693.0
2023-10-13,15259.305420723222,15739.0
2023-10-16,15222.685703564131,15676.0
2023-10-17,15212.123016131332,15675.0
2023-10-18,15204.316507548237,15728.2001953125
2023-10-19,15208.300583981365,15807.0
2023-10-20,15233.167714707808,15856.0
2023-10-23,15233.155619906101,15868.0
2023-10-24,15249.579243005212,15874.0
2023-10-25,15248.03936404036,15868.0
2023-10-26,15268.87583385794,15877.5
2023-10-27,15294.080840369741,15920.0
2023-10-30,15312.912957365277,15903.5
2023-10-31,15292.933774078829,15843.0
2023-11-01,15272.524799938552,15748.7001953125
2023-11-02,15232.369184857698,15900.0
2023-11-03,15208.243982483375,15838.0
2023-11-06,15154.844847086733,15582.099609375
2023-11-07,15131.66100670889,15570.0
2023-11-08,15110.01271409541,15643.599609375
2023-11-09,15120.318236680901,15616.0
2023-11-10,15150.256154263376,15713.7001953125
2023-11-13,15158.757572581935,15683.0
2023-11-14,15145.44188742938,15667.0
2023-11-15,15106.91806872498,15281.0
2023-11-16,15092.992959563393,15487.7998046875
2023-11-17,15025.608306711863,15475.0
2023-11-20,14986.356529320643,15399.400390625
2023-11-21,14963.841464508425,15382.099609375
2023-11-22,14960.524189519041,15501.2998046875
2023-11-23,14933.279631972033,15612.7998046875
2023-11-24,14915.310361146758,15495.0
2023-11-27,14897.980210733222,15560.0
2023-11-28,14886.714094429546,15466.5
2023-11-29,14853.453813654902,15259.0
2023-11-30,14856.18396713686,15407.0
2023-12-01,14846.55836798194,15549.2998046875
2023-12-04,14811.786055043121,15437.400390625
2023-12-05,14816.18200479718,15519.900390625
2023-12-06,14851.756870270607,15457.0
2023-12-07,14835.040815650838,15480.0
2023-12-08,14831.609065498493,15500.0
2023-12-11,14794.571061571469,15560.2001953125
2023-12-12,14786.457610674757,15647.0
2023-12-13,14783.424529718872,15569.0
2023-12-14,14728.821298013316,15275.0
2023-12-15,14704.256663587039,15468.0
2023-12-18,14673.938695213143,15282.7998046875
2023-12-19,14639.65888773618,15454.400390625
2023-12-20,14630.416009618173,15455.0
2023-12-21,14631.43005133397,15518.0
2023-12-22,14648.682238017287,15440.0
2023-12-25,14623.622828664389,15409.2001953125
2023-12-26,14626.620007673824,15460.0
2023-12-27,14610.554432323017,15400.0
2023-12-28,14595.762700794136,15373.0
2023-12-29,14558.150560280892,15425.0
2024-01-01,14536.00376623278,15383.099609375
2024-01-02,14528.8269070178,15383.0
2024-01-03,14539.024678055292,15498.0
2024-01-04,14539.220765719168,15555.0
2024-01-05,14537.259481022187,15511.0
2024-01-08,14557.022989430445,15477.5
2024-01-09,14563.070267656427,15495.5
2024-01-10,14570.657349475274,15534.5
2024-01-11,14560.663762382772,15555.0
2024-01-12,14557.71594254069,15556.5
2024-01-15,14571.54946664241,15503.2001953125
2024-01-16,14575.99537680032,15546.0
2024-01-17,14586.830753338478,15625.0
2024-01-18,14609.603620865393,15624.0
2024-01-19,14566.646535580909,15613.099609375
2024-01-22,14550.749131721863,15601.0
2024-01-23,14511.154543742554,15655.5
2024-01-24,14486.180816031081,15715.0
2024-01-25,14478.203328241249,15714.5
2024-01-26,14484.254459926948,15808.0
2024-01-29,14495.731694709837,15767.599609375
2024-01-30,14485.628339338049,15828.0
2024-01-31,14505.936720657923,15785.0
2024-02-01,14525.553072336503,15769.0
2024-02-02,14499.154902748067,15726.0
2024-02-05,14486.197702323623,15727.2001953125
2024-02-06,14498.033453457307,15711.5
2024-02-07,14508.649218611217,15733.0
2024-02-08,14505.909026005553,15647.0
2024-02-09,14484.096695453682,15660.2998046875
2024-02-12,14463.84354971676,15598.0
2024-02-13,14487.403032294113,15579.5
2024-02-14,14524.10820556786,15661.5
2024-02-15,14528.896652392412,15553.099609375
2024-02-16,14510.205558616717,15672.0
2024-02-19,14515.078512096785,15628.599609375
2024-02-20,14513.67715587547,15634.0
2024-02-21,14497.101201814896,15661.0
2024-02-22,14475.789647613514,15642.0
2024-02-23,14481.700676415625,15588.0
2024-02-26,14467.38023014986,15586.099609375
2024-02-27,14463.52705192275,15638.5
2024-02-28,14467.844214688186,15653.0
2024-02-29,14433.306302966286,15712.2001953125
2024-03-01,14364.680726117602,15704.0
2024-03-04,14353.773175446015,15691.900390625
2024-03-05,14353.763353479688,15766.0
2024-03-06,14351.780000684194,15751.5
2024-03-07,14309.89599765844,15668.0
2024-03-08,14306.081440295015,15621.0
2024-03-11,14290.74625689476,15536.2998046875
2024-03-12,14245.01558254589,15518.0
2024-03-13,14242.652514919222,15546.0
2024-03-14,14268.15043484378,15574.0
2024-03-15,14285.40459473332,15630.0
2024-03-18,14288.726124446826,15639.2998046875
2024-03-19,14301.519924117069,15743.0
2024-03-20,14247.60404731698,15718.0
2024-03-21,14206.145492435286,15687.0
2024-03-22,14210.526675843998,15723.5
2024-03-25,14216.458750566395,15802.599609375
2024-03-26,14222.727838861849,15784.0
2024-03-27,14221.92287046017,15828.0
2024-03-28,14207.479484764248,15877.0
2024-03-29,14203.44356260359,15877.0
2024-04-01,14192.527148803547,15848.0
2024-04-02,14208.927956100984,15945.7998046875
2024-04-03,14182.67079425812,15955.0
2024-04-04,14198.952736813222,15936.0
2024-04-05,14184.40706769208,15904.5
2024-04-08,14163.659243564936,15881.0
2024-04-09,14154.450145296996,15918.0
2024-04-10,14134.347179808585,15892.2998046875
2024-04-11,14120.550425034466,15998.2001953125
2024-04-12,14131.47955852312,16007.0
2024-04-15,14137.996797652853,16111.0
2024-04-16,14130.161318688339,16075.0
2024-04-17,14157.55129517959,16312.2001953125
2024-04-18,14149.079651413389,16246.0
2024-04-19,14164.063361162427,16220.0
2024-04-22,14190.151836517221,16210.2998046875
2024-04-23,14202.635041918018,16246.0
2024-04-24,14198.929247071044,16140.2001953125
2024-04-25,14199.727238917694,16220.0
2024-04-26,14215.728313413834,16202.0
2024-04-29,14215.918941594538,16203.0
2024-04-30,14232.779059496239,16246.0
2024-05-01,14254.895145147742,16273.0
2024-05-02,14249.994035409767,16190.400390625
2024-05-03,14245.693898387439,16097.0
2024-05-06,14232.3604365635,16077.0
2024-05-07,14232.457963989737,16034.0
2024-05-08,14243.720513453527,16073.0
2024-05-09,14235.445816763548,16074.0
2024-05-10,14193.676560262602,16030.0
2024-05-13,14202.624642121662,16038.0
2024-05-14,14200.990333475556,16121.0
2024-05-15,14155.489959347324,16102.0
2024-05-16,14127.812033529193,15914.0
2024-05-17,14105.974615033698,15930.7998046875
2024-05-20,14093.074400766642,15958.0
2024-05-21,14065.260240483765,16031.0
2024-05-22,14079.792388181115,16005.0
2024-05-23,14093.81754184467,16040.7001953125
2024-05-24,14094.121333252648,16095.0
2024-05-27,14099.36349894531,16038.0
2024-05-28,14092.32664157686,16071.0
2024-05-29,14115.707571616336,16117.0
2024-05-30,14155.102767957556,16232.099609375
2024-05-31,14152.798070013063,16228.0
2024-06-03,14182.887254836833,16243.0
2024-06-04,14185.076555127675,16203.0
2024-06-05,14193.109848876078,16276.0
2024-06-06,14187.321031885862,16315.0
2024-06-07,14170.124194945904,16241.7001953125
