Date,actual,predicted
2024-06-21,16491.900390625,15531.29118722415
2024-06-24,16443.0,15527.108767913995
2024-06-25,16394.099609375,15531.887012464142
2024-06-26,16401.0,15527.472338223419
2024-06-27,16434.0,15526.776119981312
2024-06-28,16374.400390625,15526.573845540057
2024-07-01,16343.0,15524.576607044686
2024-07-02,16390.0,15519.147223967128
2024-07-03,16391.0,15514.089167836813
2024-07-04,16340.0,15508.502328913528
2024-07-05,16328.5,15509.948295532004
2024-07-08,16245.0,15504.825409315308
2024-07-09,16277.2001953125,15502.647634222962
2024-07-10,16277.0,15501.110045215573
2024-07-11,16198.0,15495.74348421077
2024-07-12,16104.0,15503.050546979255
2024-07-15,16108.0,15495.942890309372
2024-07-16,16195.0,15506.800802695421
2024-07-17,16173.0,15501.771706329304
2024-07-18,16138.0,15518.12086878268
2024-07-19,16185.0,15530.539253868596
2024-07-22,16206.0,15532.141715318945
2024-07-23,16220.2001953125,15518.939424228487
2024-07-24,16222.0,15519.347746485926
2024-07-25,16246.0,15541.938708471485
2024-07-26,16337.7998046875,15543.299544485622
2024-07-29,16283.0,15519.034539312233
2024-07-30,16301.7001953125,15525.970890078008
2024-07-31,16328.5,15539.884148182224
2024-08-01,16255.0,15524.37360685684
2024-08-02,16281.0,15545.379354173274
2024-08-05,16012.0,15549.873161472178
2024-08-06,16208.0,15580.507957834467
2024-08-07,16152.2998046875,15544.920531293641
2024-08-08,16023.0,15558.715895394114
2024-08-09,15979.0,15528.651347026285
2024-08-12,15918.0,15514.004325154112
2024-08-13,15949.099609375,15521.578215133155
2024-08-14,15749.0,15485.124973881497
2024-08-15,15619.5,15479.664415340236
2024-08-16,15755.0,15467.57428376992
2024-08-19,15683.0,15464.264968062764
2024-08-20,15523.0,15462.479833735975
2024-08-21,15442.0,15468.610062024745
2024-08-22,15484.0,15464.107085707687
2024-08-23,15728.5,15476.237737234787
2024-08-26,15377.2001953125,15458.333231916244
2024-08-27,15462.599609375,15473.324415520727
2024-08-28,15467.099609375,15460.458307670542
2024-08-29,15440.0,15491.364446836926
2024-08-30,15444.7998046875,15483.154367820758
2024-09-02,15525.0,15479.804052539826
2024-09-03,15520.099609375,15482.991457394839
2024-09-04,15532.900390625,15498.220778818113
2024-09-05,15444.400390625,15499.334602838702
2024-09-06,15417.0,15499.471775355712
2024-09-09,15405.0,15510.389834995598
2024-09-10,15456.7998046875,15488.14555815144
2024-09-11,15489.0,15485.604447383794
2024-09-12,15437.0,15483.204604515053
2024-09-13,15418.7001953125,15478.170948396084
2024-09-16,15393.0,15471.592430432058
2024-09-17,15385.0,15481.936296025393
2024-09-18,15345.0,15478.469165521237
2024-09-19,15300.2001953125,15485.414796269277
2024-09-20,15197.599609375,15463.10420360446
2024-09-23,15154.0,15483.236141204883
2024-09-24,15174.099609375,15473.586973749161
2024-09-25,15121.099609375,15476.969855882851
2024-09-26,15201.5,15475.343045183517
2024-09-27,15070.0,15469.296729724174
2024-09-30,15118.0,15484.954094378636
2024-10-01,15170.599609375,15477.869288100277
2024-10-02,15260.599609375,15495.997235533327
2024-10-03,15324.0,15492.26668005114
2024-10-04,15457.0,15502.892040904122
2024-10-07,15650.0,15497.05864117686
2024-10-08,15744.0,15510.77055384553
2024-10-09,15682.400390625,15503.022671827322
2024-10-10,15664.599609375,15499.896699415476
2024-10-11,15670.900390625,15499.949476576729
2024-10-14,15562.0,15499.245214257118
2024-10-15,15573.0,15493.706839047789
2024-10-16,15578.599609375,15514.820004358491
2024-10-17,15583.900390625,15504.56415959023
2024-10-18,15493.0,15507.489257291367
2024-10-21,15467.0,15502.43296454079
2024-10-22,15556.0,15504.245185255146
2024-10-23,15586.0,15505.398004450983
2024-10-24,15663.0,15522.606977618603
2024-10-25,15621.5,15520.32430651609
2024-10-28,15688.099609375,15532.813996500898
2024-10-29,15747.0,15529.26118259743
