feature,lag,correlation,abs_correlation
VIX,72,-0.021608239111069138,0.021608239111069138
CPI,45,0.021568401519510987,0.021568401519510987
OIL,21,-0.021483083154825427,0.021483083154825427
SP500,68,0.021436249785921353,0.021436249785921353
GOLD,42,-0.021404304290432462,0.021404304290432462
IHSG,36,-0.02135026488736328,0.02135026488736328
VIX,60,-0.021314566999090522,0.021314566999090522
GOLD,10,0.021282857599704965,0.021282857599704965
OIL,37,-0.021255025521176703,0.021255025521176703
CPI,43,0.021231593679819062,0.021231593679819062
SP500,72,0.021115247294195946,0.021115247294195946
IHSG,4,-0.021110013650252953,0.021110013650252953
GOLD,8,-0.021025791489294152,0.021025791489294152
OIL,62,0.021002297640827578,0.021002297640827578
OIL,30,-0.020895103683409154,0.020895103683409154
VIX,53,-0.020847949787590768,0.020847949787590768
SP500,18,-0.020800207729250727,0.020800207729250727
GOLD,27,-0.02079754128013085,0.02079754128013085
SP500,29,0.020775810522063867,0.020775810522063867
US_rate,55,-0.020666314794735727,0.020666314794735727
VIX,63,0.020565386191533527,0.020565386191533527
VIX,37,0.02050748265761071,0.02050748265761071
VIX,82,-0.02050521581788703,0.02050521581788703
GOLD,31,0.02044908297403112,0.02044908297403112
US_rate,87,0.020445402809065677,0.020445402809065677
BI_rate,88,-0.020403665119712058,0.020403665119712058
CPI,63,0.020299731398816724,0.020299731398816724
VIX,49,0.020293101021042204,0.020293101021042204
BI_rate,25,-0.020261168949825898,0.020261168949825898
BI_rate,72,0.020176468966216846,0.020176468966216846
CPI,8,0.02003982626169802,0.02003982626169802
BI_rate,56,0.02001536910160458,0.02001536910160458
GOLD,37,-0.019990171313987785,0.019990171313987785
VIX,21,0.019846224959855763,0.019846224959855763
US_rate,67,0.019839375596756647,0.019839375596756647
IHSG,37,0.019809959003332264,0.019809959003332264
IHSG,80,0.01972517096694365,0.01972517096694365
BI_rate,90,-0.01956280241904239,0.01956280241904239
IHSG,33,0.019543170771714212,0.019543170771714212
US_rate,15,0.019487111569184454,0.019487111569184454
US_rate,88,-0.019454902028215534,0.019454902028215534
VIX,55,-0.01945004632242952,0.01945004632242952
GOLD,85,-0.019442142488156615,0.019442142488156615
CPI,60,0.01942240998758916,0.01942240998758916
CPI,13,0.019408154343916264,0.019408154343916264
OIL,23,-0.01933537362990892,0.01933537362990892
SP500,62,0.019256357909304935,0.019256357909304935
OIL,76,-0.019138287703931677,0.019138287703931677
BI_rate,69,-0.018725171777012505,0.018725171777012505
BI_rate,61,-0.018711385526068988,0.018711385526068988
OIL,34,-0.018652672958818214,0.018652672958818214
IHSG,77,-0.0185736508546626,0.0185736508546626
CPI,77,0.01853057162067006,0.01853057162067006
US_rate,10,0.01845716712260861,0.01845716712260861
SP500,36,0.018342291670658192,0.018342291670658192
US_rate,47,-0.01827649962064921,0.01827649962064921
US_rate,30,-0.018117200911298353,0.018117200911298353
VIX,8,0.01811215694859926,0.01811215694859926
OIL,29,0.01802073834372659,0.01802073834372659
SP500,3,-0.017930430836755277,0.017930430836755277
GOLD,9,-0.017888728953930285,0.017888728953930285
VIX,81,0.01788409316618086,0.01788409316618086
VIX,74,-0.017842888684652385,0.017842888684652385
OIL,32,0.017758679786932255,0.017758679786932255
BI_rate,53,0.01772809668030336,0.01772809668030336
IHSG,90,-0.017691816037490152,0.017691816037490152
VIX,46,0.017636815115234537,0.017636815115234537
GOLD,29,0.01750096134366738,0.01750096134366738
OIL,39,0.017489238498114287,0.017489238498114287
VIX,24,-0.017403489662431458,0.017403489662431458
GOLD,64,-0.017369960897470352,0.017369960897470352
BI_rate,17,0.017310223216773845,0.017310223216773845
US_rate,42,0.017189474249024055,0.017189474249024055
CPI,72,0.017184977598044448,0.017184977598044448
IHSG,66,-0.017081102562146264,0.017081102562146264
BI_rate,27,0.01708092255402192,0.01708092255402192
BI_rate,34,0.017049758407346984,0.017049758407346984
US_rate,29,0.017018065970120105,0.017018065970120105
VIX,57,-0.016997574754519743,0.016997574754519743
BI_rate,36,-0.016949114748009326,0.016949114748009326
SP500,47,0.016894357470169603,0.016894357470169603
US_rate,21,-0.01674883767761601,0.01674883767761601
GOLD,22,0.016743510328126383,0.016743510328126383
CPI,5,-0.01674142792502204,0.01674142792502204
BI_rate,68,0.01659005248341982,0.01659005248341982
GOLD,12,0.016531610491655874,0.016531610491655874
VIX,69,-0.01652300636417004,0.01652300636417004
CPI,89,-0.016401546917546698,0.016401546917546698
OIL,13,-0.016392984538659377,0.016392984538659377
BI_rate,30,0.01638007125415367,0.01638007125415367
GOLD,53,0.016361610498654963,0.016361610498654963
GOLD,19,-0.016232734112691702,0.016232734112691702
US_rate,62,-0.016175536465467284,0.016175536465467284
US_rate,43,0.01600692243602828,0.01600692243602828
OIL,50,0.015849057837487815,0.015849057837487815
CPI,53,-0.015830970346810268,0.015830970346810268
VIX,2,0.0157961514103072,0.0157961514103072
US_rate,25,-0.01571473589335354,0.01571473589335354
GOLD,62,0.01561651391359471,0.01561651391359471
SP500,66,-0.015536367321542602,0.015536367321542602
OIL,10,0.015494104775897181,0.015494104775897181
OIL,35,-0.015461793453427755,0.015461793453427755
US_rate,24,0.015365950077494517,0.015365950077494517
VIX,23,0.015363497001452215,0.015363497001452215
GOLD,55,0.015299546044490252,0.015299546044490252
US_rate,90,-0.015099115122392356,0.015099115122392356
GOLD,30,-0.015092180718577108,0.015092180718577108
IHSG,16,-0.015074786105437579,0.015074786105437579
US_rate,82,-0.015004117093557597,0.015004117093557597
SP500,81,0.014984498248014563,0.014984498248014563
CPI,10,0.014881584086691203,0.014881584086691203
VIX,64,-0.014846672289472848,0.014846672289472848
BI_rate,74,0.014822163067218794,0.014822163067218794
US_rate,51,-0.014817963913637447,0.014817963913637447
GOLD,48,0.01479991488389893,0.01479991488389893
IHSG,23,-0.014753020520391855,0.014753020520391855
CPI,83,0.01464583747602037,0.01464583747602037
US_rate,85,0.014515692777628413,0.014515692777628413
OIL,52,-0.014480976788427089,0.014480976788427089
US_rate,19,0.014471946323378584,0.014471946323378584
CPI,17,-0.014468449480191435,0.014468449480191435
US_rate,71,-0.014444004060835665,0.014444004060835665
IHSG,41,-0.014388087873998012,0.014388087873998012
GOLD,44,0.014359792880445837,0.014359792880445837
IHSG,83,0.014255084771686246,0.014255084771686246
BI_rate,46,-0.01422468610470519,0.01422468610470519
VIX,68,-0.01414584907713315,0.01414584907713315
GOLD,47,-0.013955268475092394,0.013955268475092394
BI_rate,85,0.01392253556406644,0.01392253556406644
